A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,CLASSES
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u,venenoso
x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,comestivel
b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,comestivel
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u,venenoso
x,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,comestivel
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,n,g,comestivel
b,s,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,m,comestivel
b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,comestivel
x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,venenoso
b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,comestivel
x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,comestivel
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m,comestivel
b,s,y,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,s,g,comestivel
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u,venenoso
x,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g,comestivel
s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u,comestivel
f,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g,comestivel
x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g,venenoso
x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u,venenoso
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,venenoso
b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,comestivel
x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,venenoso
b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m,comestivel
b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,comestivel
b,s,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m,comestivel
f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g,venenoso
x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,comestivel
x,y,w,t,l,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m,comestivel
f,f,n,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u,comestivel
x,s,y,t,a,f,w,n,n,t,b,s,s,w,w,p,w,o,p,n,v,d,comestivel
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,comestivel
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u,venenoso
x,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m,comestivel
x,y,n,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,n,y,p,comestivel
b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m,comestivel
